Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Price,Length,Width,Depth
1638147,CUSHION,0.5498047,SI2,E,EX,EX,VG,N,1378.65,5.0507812,4.3515625,2.9394531
1630155,CUSHION,0.5,VVS1,FANCY,EX,EX,VG,F,1379.74,4.6015625,4.3085938,2.9199219
1612606,CUSHION,0.5097656,VS2,H,EX,EX,VG,N,1380.19,4.7109375,4.3515625,2.9394531
1638140,CUSHION,0.5,VS2,H,EX,EX,VG,N,1380.61,4.9101562,4.2617188,2.8808594
1536093,CUSHION,0.52978516,SI1,D,EX,VG,VG,N,1383.13,4.6992188,4.4609375,3.0097656
1643527,CUSHION,0.52001953,VVS1,I,EX,EX,VG,N,1384.24,4.7617188,4.421875,2.9902344
1796907,CUSHION,0.5097656,VS2,I,EX,EX,VG,F,1385.26,5.1601562,4.2109375,2.8496094
1636092,CUSHION,0.5,SI1,E,VG,EX,VG,N,1385.91,4.9101562,4.171875,2.9003906
1771074,CUSHION,0.5,VVS2,I,EX,EX,VG,N,1385.94,4.4804688,4.3789062,3.0390625
1756392,CUSHION,0.5097656,SI1,I,EX,EX,EX,N,1387.05,4.5507812,4.5,3.0195312
1648845,CUSHION,0.5,SI1,D,EX,EX,GD,N,1389.25,4.890625,4.2382812,2.8398438
1766801,CUSHION,0.5,VS1,I,EX,EX,VG,N,1390.19,5.0507812,4.2109375,2.8300781
1631332,CUSHION,0.5498047,VVS1,I,EX,EX,VG,N,1391.02,4.6914062,4.5,3.0390625
1639565,CUSHION,0.5498047,VS1,H,EX,EX,EX,ST,1392.9,4.78125,4.5195312,3.0390625
1608375,CUSHION,0.91015625,SI1,M,EX,EX,EX,F,1393.76,6.0898438,5.109375,3.4707031
1623506,CUSHION,0.52001953,VS1,H,EX,EX,VG,M,1319.56,4.640625,4.4804688,3.0292969
1593561,CUSHION,0.5,VVS1,I,EX,EX,VG,N,1320.14,4.6289062,4.328125,2.9199219
1612588,CUSHION,0.70996094,VS1,K,EX,EX,VG,N,1320.7,5.7304688,4.7109375,3.1992188
200715-197,CUSHION,1.1201172,I3,FANCY,EX,VG,VG,F,1323.08,6.0117188,5.640625,3.8300781
1665793,CUSHION,0.5097656,VVS2,I,EX,EX,VG,N,1324.64,4.53125,4.4296875,3.0
200538-94,CUSHION,1.0,I1,W-X,EX,VG,GD,F,1325.01,6.5117188,5.3085938,3.2695312
1605155,CUSHION,0.52001953,VVS1,I,EX,EX,VG,N,1326.87,4.6914062,4.46875,3.0292969
1704922,CUSHION,0.72021484,VS2,FANCY,EX,EX,EX,F,1328.48,5.2109375,4.8710938,3.2109375
1608393,CUSHION,0.8198242,VS1,M,EX,EX,EX,M,1329.81,5.2304688,5.1992188,3.5292969
1597343,CUSHION,0.72021484,IF,Y-Z,EX,EX,GD,N,1330.5,5.0898438,4.8710938,3.2890625
1771082,CUSHION,0.5,SI2,H,EX,EX,VG,N,1330.91,5.1289062,4.1210938,2.7792969
1777340,CUSHION,0.5,SI2,E,EX,EX,VG,N,1331.01,4.671875,4.28125,2.9003906
1638113,CUSHION,0.7998047,SI1,N,EX,EX,VG,M,1332.09,5.46875,4.96875,3.3808594
1787775,CUSHION,0.52001953,SI1,I,EX,EX,VG,N,1332.82,4.6210938,4.3984375,2.9902344
1799601,CUSHION,0.52978516,VS1,J,EX,EX,EX,N,1422.74,4.6992188,4.4492188,3.0097656
1622628,CUSHION,0.5097656,VS1,FANCY,EX,VG,VG,F,1424.23,4.6210938,4.4804688,2.9707031
1667155,CUSHION,0.52978516,VS1,I,EX,EX,VG,N,1424.37,5.1914062,4.2890625,2.9003906
1775168,CUSHION,0.5,VS2,E,EX,EX,VG,M,1429.01,5.0117188,4.28125,2.7890625
1615073,CUSHION,0.52001953,VVS1,I,EX,EX,VG,N,1430.13,4.5703125,4.46875,3.0292969
1795575,CUSHION,0.5,VS2,F,VG,EX,EX,ST,1436.5,4.7617188,4.1992188,2.9394531
1589370,CUSHION,0.75,VS1,L,EX,EX,VG,F,1437.68,5.6992188,4.78125,3.2304688
1757200,CUSHION,0.5,VS2,H,VG,EX,VG,N,1439.96,4.9609375,4.2109375,2.8691406
1648815,CUSHION,0.9399414,SI1,M,VG,EX,VG,F,1441.31,5.8710938,5.1796875,3.609375
1506838,CUSHION,0.7001953,SI1,I,EX,EX,VG,N,1444.75,5.28125,4.8085938,3.2597656
1648843,CUSHION,0.5498047,VS2,H,EX,EX,VG,N,1445.15,5.3398438,4.2695312,2.859375
1665798,CUSHION,0.5,VS2,G,EX,EX,VG,F,1447.35,4.4882812,4.4609375,3.0097656
200702-562,CUSHION,1.0800781,SI1,FANCY,EX,VG,VG,N,1447.51,5.9492188,5.5703125,3.7597656
1777334,CUSHION,0.5,VS2,G,VG,EX,GD,N,1450.02,4.7695312,4.3203125,2.8496094
1796895,CUSHION,0.5,VS1,I,EX,EX,VG,N,1450.05,4.6914062,4.3398438,2.9199219
1549891,CUSHION,0.72021484,I1,FANCY,EX,VG,GD,M,1054.14,5.5507812,4.671875,3.1699219
1779754,CUSHION,0.4399414,SI1,D,EX,VG,GD,M,1059.29,4.9492188,4.0,2.6796875
1769463,CUSHION,0.39990234,VS2,I,EX,EX,VG,N,1065.38,4.78125,3.890625,2.640625
1798209,CUSHION,0.5498047,VS2,O-P,EX,EX,EX,N,1067.66,4.6289062,4.5703125,3.0996094
1795587,CUSHION,0.4099121,SI1,F,EX,EX,VG,N,1071.87,4.6601562,3.9804688,2.640625
1799605,CUSHION,0.3100586,VVS1,E,EX,EX,VG,N,1072.54,3.9492188,3.7792969,2.5292969
1622484,CUSHION,0.5498047,VVS1,K,EX,EX,VG,N,1075.21,4.7382812,4.4804688,3.0390625
1632732,CUSHION,0.7001953,VS2,N,EX,EX,VG,M,1078.14,5.2304688,4.75,3.2207031
1786432,CUSHION,0.39990234,VS1,I,EX,EX,VG,N,1078.32,4.25,4.0585938,2.7402344
1629717,CUSHION,0.6098633,VVS1,Y-Z,EX,EX,VG,N,1087.25,4.6601562,4.6015625,3.109375
1605151,CUSHION,0.75,SI1,K,EX,EX,VG,N,1087.54,5.5898438,4.8515625,3.2695312
1787776,CUSHION,0.52001953,SI1,K,EX,VG,VG,F,1094.65,4.6992188,4.4101562,2.9707031
