Shape_CUSHION,Shape_EMERALD,Shape_HEART,Shape_MARQUISE,Shape_OVAL,Shape_PEAR,Shape_PRINCESS,Shape_ROUND,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Weight,Length,Width,Depth,Price
1,0,0,0,0,0,0,0,3,17,3,3,2,0,0.5498047,5.0507812,4.3515625,2.9394531,1378.65
1,0,0,0,0,0,0,0,8,19,3,3,2,2,0.5,4.6015625,4.3085938,2.9199219,1379.74
1,0,0,0,0,0,0,0,5,14,3,3,2,0,0.5097656,4.7109375,4.3515625,2.9394531,1380.19
1,0,0,0,0,0,0,0,5,14,3,3,2,0,0.5,4.9101562,4.2617188,2.8808594,1380.61
1,0,0,0,0,0,0,0,4,18,3,2,2,0,0.52978516,4.6992188,4.4609375,3.0097656,1383.13
1,0,0,0,0,0,0,0,8,13,3,3,2,0,0.52001953,4.7617188,4.421875,2.9902344,1384.24
1,0,0,0,0,0,0,0,5,13,3,3,2,2,0.5097656,5.1601562,4.2109375,2.8496094,1385.26
1,0,0,0,0,0,0,0,4,17,2,3,2,0,0.5,4.9101562,4.171875,2.9003906,1385.91
1,0,0,0,0,0,0,0,7,13,3,3,2,0,0.5,4.4804688,4.3789062,3.0390625,1385.94
1,0,0,0,0,0,0,0,4,13,3,3,3,0,0.5097656,4.5507812,4.5,3.0195312,1387.05
1,0,0,0,0,0,0,0,4,18,3,3,1,0,0.5,4.890625,4.2382812,2.8398438,1389.25
1,0,0,0,0,0,0,0,6,13,3,3,2,0,0.5,5.0507812,4.2109375,2.8300781,1390.19
1,0,0,0,0,0,0,0,8,13,3,3,2,0,0.5498047,4.6914062,4.5,3.0390625,1391.02
1,0,0,0,0,0,0,0,6,14,3,3,3,4,0.5498047,4.78125,4.5195312,3.0390625,1392.9
1,0,0,0,0,0,0,0,4,9,3,3,3,2,0.91015625,6.0898438,5.109375,3.4707031,1393.76
1,0,0,0,0,0,0,0,6,14,3,3,2,1,0.52001953,4.640625,4.4804688,3.0292969,1319.56
1,0,0,0,0,0,0,0,8,13,3,3,2,0,0.5,4.6289062,4.328125,2.9199219,1320.14
1,0,0,0,0,0,0,0,6,11,3,3,2,0,0.70996094,5.7304688,4.7109375,3.1992188,1320.7
1,0,0,0,0,0,0,0,0,19,3,2,2,2,1.1201172,6.0117188,5.640625,3.8300781,1323.08
1,0,0,0,0,0,0,0,7,13,3,3,2,0,0.5097656,4.53125,4.4296875,3.0,1324.64
1,0,0,0,0,0,0,0,2,1,3,2,1,2,1.0,6.5117188,5.3085938,3.2695312,1325.01
1,0,0,0,0,0,0,0,8,13,3,3,2,0,0.52001953,4.6914062,4.46875,3.0292969,1326.87
1,0,0,0,0,0,0,0,5,19,3,3,3,2,0.72021484,5.2109375,4.8710938,3.2109375,1328.48
1,0,0,0,0,0,0,0,6,9,3,3,3,1,0.8198242,5.2304688,5.1992188,3.5292969,1329.81
1,0,0,0,0,0,0,0,9,0,3,3,1,0,0.72021484,5.0898438,4.8710938,3.2890625,1330.5
1,0,0,0,0,0,0,0,3,14,3,3,2,0,0.5,5.1289062,4.1210938,2.7792969,1330.91
1,0,0,0,0,0,0,0,3,17,3,3,2,0,0.5,4.671875,4.28125,2.9003906,1331.01
1,0,0,0,0,0,0,0,4,8,3,3,2,1,0.7998047,5.46875,4.96875,3.3808594,1332.09
1,0,0,0,0,0,0,0,4,13,3,3,2,0,0.52001953,4.6210938,4.3984375,2.9902344,1332.82
1,0,0,0,0,0,0,0,6,12,3,3,3,0,0.52978516,4.6992188,4.4492188,3.0097656,1422.74
1,0,0,0,0,0,0,0,6,19,3,2,2,2,0.5097656,4.6210938,4.4804688,2.9707031,1424.23
1,0,0,0,0,0,0,0,6,13,3,3,2,0,0.52978516,5.1914062,4.2890625,2.9003906,1424.37
1,0,0,0,0,0,0,0,5,17,3,3,2,1,0.5,5.0117188,4.28125,2.7890625,1429.01
1,0,0,0,0,0,0,0,8,13,3,3,2,0,0.52001953,4.5703125,4.46875,3.0292969,1430.13
1,0,0,0,0,0,0,0,5,16,2,3,3,4,0.5,4.7617188,4.1992188,2.9394531,1436.5
